,0
0,brunoneyo
1,flaviogomesss
2,panterafreitas
3,Rosilen68042075
4,marcioTadeuRoc4
5,ddavidahuda
6,edcassioneves
7,Mirella_PB30
8,salomaobetaSDV
9,andreia_bacelar
10,BarbosaClerio
11,Raul_Soliveira
12,fabioconde
13,alequixandro19
14,CristianSilvaRT
15,Ricknet1
16,Jeskilaine
17,MonteiLima
18,DynhOAssuncaO
19,Edeilsonrc
20,Danilo23059362
21,negao2010
22,AndersondaParr1
23,millloc_
24,AguiarAurelio
25,lenamsqt
26,Marciovais13
27,Laendeer
28,xander136711
29,QuelMacedo1
30,ElvisSousaLeite
31,ThieniNakamura
32,salomaobetaSDV
33,RodrigoMuller2
34,LRauc
35,AlexBBetaLab
36,MARCUSANTONIOFI
37,suportemicros
38,ronilsonluz
39,RAFAELGOESCOSTA
40,OscarAdv
41,DiegoTatiana1
42,thabtah
43,caivanomichel
44,ArkeideBoy
45,ClenilsonTIMBTA
46,fabro_juliana
47,RodrigoMuller2
48,marcos_lica
49,AlexBBetaLab
50,QuelMacedo1
51,MARCUSANTONIOFI
52,mcverzegnassi
53,suportemicros
54,ronilsonluz
55,RAFAELGOESCOSTA
56,fernandotonhao
57,angelo20054
58,Carolzinhatorga
59,RenataP72956759
60,Jhunnyhendrix
61,menezes_dayanne
62,CARLOSEMARCILIO
63,VeronicaVilma4
64,MarlonVasco88
65,Jorgejwsl87
66,braga1970
67,OscarAdv
68,MedalhaAssuncao
69,elizang83234211
70,DrikinhaRBorges
71,LeeSampaioS5
72,RodrigoMuller2
73,caivanomichel
74,LRauc
75,marcos_lica
76,AlexBBetaLab
77,QuelMacedo1
78,MARCUSANTONIOFI
79,mcverzegnassi
80,ronilsonluz
81,William36651959
82,ddavidahuda
83,LaydeMary
84,LucasBi45831528
85,modasenai
86,pequeno0002
87,Rosilen68042075
88,angelo20054
89,Raul_Soliveira
90,OscarAdv
91,WellersonZeiro
92,lilirbrasil
93,warleywbl
94,Jt_cardelli
95,mcverzegnassi
96,AllanMMNoficial
97,DaviJos25347204
98,LRauc
99,marcos_lica
100,99diegomachado
101,QuelMacedo1
102,suportemicros
103,ronilsonluz
104,RAFAELGOESCOSTA
105,MedalhaAssuncao
106,ElvisSousaLeite
107,OscarAdv
108,MedalhaAssuncao
109,DrikinhaRBorges
110,RodrigoMuller2
111,caivanomichel
112,LRauc
113,MAILNEWSBR
114,LaydeMary
115,Francis27085625
116,CristianSilvaRT
117,Ricknet1
118,Jorgejwsl87
119,braga1970
120,OscarAdv
121,MedalhaAssuncao
122,elizang83234211
123,DrikinhaRBorges
124,LeeSampaioS5
125,RodrigoMuller2
126,caivanomichel
127,LRauc
128,marcos_lica
129,AlexBBetaLab
130,QuelMacedo1
131,MARCUSANTONIOFI
132,mcverzegnassi
133,ronilsonluz
134,Jorgejwsl87
135,braga1970
136,OscarAdv
137,MedalhaAssuncao
138,elizang83234211
139,DrikinhaRBorges
140,LeeSampaioS5
141,RodrigoMuller2
142,caivanomichel
143,LRauc
144,marcos_lica
145,AlexBBetaLab
146,QuelMacedo1
147,MARCUSANTONIOFI
148,mcverzegnassi
149,ronilsonluz
150,SobRenato
151,William36651959
152,Carolzinhatorga
153,RenataP72956759
154,ResendeEnrique
155,Jhunnyhendrix
156,MarioOxigem
157,JCOLET
158,renatapires74
159,prazeres_denise
160,Amorebzinho
161,Jonatha88778930
162,nonoalex1980
163,Laendeer
164,do_maurici
165,SobRenato
166,CaiqueSamuel
167,WMochila
168,LeeSampaioS5
169,RodrigoMuller2
170,caivanomichel
171,LRauc
172,AlexBBetaLab
173,DrikinhaRBorges
174,LeeSampaioS5
175,oiimirian
176,RodrigoMuller2
177,LRauc
178,AlexBBetaLab
179,MARCUSANTONIOFI
180,mcverzegnassi
181,suportemicros
182,ronilsonluz
183,RAFAELGOESCOSTA
184,OscarAdv
185,DiegoTatiana1
186,RodrigoMuller2
187,LRauc
188,AlexBBetaLab
189,MARCUSANTONIOFI
190,suportemicros
191,ronilsonluz
192,RAFAELGOESCOSTA
193,OscarAdv
194,DiegoTatiana1
195,thabtah
196,caivanomichel
197,ArkeideBoy
198,DrikinhaRBorges
199,LeeSampaioS5
200,oiimirian
201,RodrigoMuller2
202,LRauc
203,AlexBBetaLab
204,MARCUSANTONIOFI
205,mcverzegnassi
206,suportemicros
207,ronilsonluz
208,RAFAELGOESCOSTA
209,OscarAdv
210,DiegoTatiana1
211,Milupa080203
212,prazeres_denise
213,Amorebzinho
214,Jonatha88778930
215,newsenzani
216,HassemMalt
217,nonoalex1980
218,RodrigoMuller2
219,William36651959
220,Laendeer
221,do_maurici
222,SobRenato
223,CaiqueSamuel
224,jonathanjazzaaz
225,Rodiguinho29
226,Ramayane_27
227,panterafreitas
228,flaviogomesss
229,OscarAdv
230,MedalhaAssuncao
231,elizang83234211
232,DrikinhaRBorges
233,LeeSampaioS5
234,RodrigoMuller2
235,caivanomichel
236,LRauc
237,AlexBBetaLab
238,QuelMacedo1
239,MARCUSANTONIOFI
240,mcverzegnassi
241,suportemicros
242,angelo20054
243,DaviJos25347204
244,LRauc
245,marcos_lica
246,99diegomachado
247,QuelMacedo1
248,suportemicros
249,ronilsonluz
250,RAFAELGOESCOSTA
251,MedalhaAssuncao
252,ElvisSousaLeite
253,LaydeMary
254,Francis27085625
255,CristianSilvaRT
256,mariojfla
257,_janainadejesus
258,Rosilen68042075
259,Raul_Soliveira
260,Lucasmenesesso2
261,OscarAdv
262,Milupa080203
263,prazeres_denise
264,AparecidoTeles
265,Amorebzinho
266,Jonatha88778930
267,nonoalex1980
268,RodrigoMuller2
269,SobRenato
270,WMochila
271,SeuJorge50
272,jbpereirarj
273,EwrtonEwerton
274,DaviJos25347204
275,LRauc
276,marcos_lica
277,99diegomachado
278,QuelMacedo1
279,suportemicros
280,ronilsonluz
281,RAFAELGOESCOSTA
282,MedalhaAssuncao
283,ElvisSousaLeite
284,SobRenato
285,caivanomichel
286,elizang83234211
287,DrikinhaRBorges
288,oiimirian
289,matheusbechelli
290,Edeilsonrc
291,marcioTadeuRoc4
292,DeEderson
293,Aleasoare
294,bleandrorocha
295,MayversonA
296,blevda
297,prazeres_denise
298,Amorebzinho
299,Jonatha88778930
300,nonoalex1980
301,Laendeer
302,do_maurici
303,SobRenato
304,CaiqueSamuel
305,WMochila
306,LeeSampaioS5
307,RodrigoMuller2
308,caivanomichel
309,LRauc
310,AlexBBetaLab
311,caivanomichel
312,BittarKatia
313,Carolzinhatorga
314,RenataP72956759
315,MateusDaviBraun
316,VeronicaVilma4
317,Moisessantos83
318,gustavowittek
319,matheeusribeir
320,vnknt
321,cadastrobeta37
322,RafaelSgulmar
323,NatanWas
324,bleandrorocha
325,mcverzegnassi
326,Amorebzinho
327,Tallesxl
328,Chelle_Carmo
329,amiga2018
330,joao_saampa
331,GiL_mister
332,Milupa080203
333,prazeres_denise
334,Amorebzinho
335,Jonatha88778930
336,newsenzani
337,nonoalex1980
338,RodrigoMuller2
339,SobRenato
340,CaiqueSamuel
341,Rodiguinho29
342,Ramayane_27
343,WMochila
344,SerradoNavio
345,RONALDOALVESSI1
346,ClenilsonTIMBTA
347,DaviJos25347204
348,LRauc
349,marcos_lica
350,99diegomachado
351,QuelMacedo1
352,suportemicros
353,ronilsonluz
354,RAFAELGOESCOSTA
355,MedalhaAssuncao
356,ElvisSousaLeite
357,Cpcl80
358,thiagobg07_
359,santosforte50
360,OscarAdv
361,ignonatemyrbarr
362,ericaltsantos
363,braga1970
364,Jorgejwsl87
365,eraldojunio17
366,wfideix67
367,jrrneto6
368,fernandotonhao
369,DaviJos25347204
370,Joanilson1981
371,braga1970
372,MAILNEWSBR
373,LaydeMary
374,JulianaSilviaB1
375,Francis27085625
376,do_maurici
377,augustoberredo
378,Danilo23059362
379,andreia_bacelar
380,modasenai
381,BarbosaClerio
382,itallorodrigo4
383,RochaXavier
384,andersonkikoo
385,DaviJos25347204
386,LRauc
387,marcos_lica
388,99diegomachado
389,QuelMacedo1
390,suportemicros
391,ronilsonluz
392,RAFAELGOESCOSTA
393,MedalhaAssuncao
394,ElvisSousaLeite
395,angelo20054
396,jbpereirarj
397,Ayrtonscp
398,NatanWas
399,admcokaren
400,nohannawalverde
401,ewertomstn
402,LeeSampaioS5
403,ArualdoSil
404,caivanomichel
405,BittarKatia
406,Carolzinhatorga
407,RenataP72956759
408,MateusDaviBraun
409,VeronicaVilma4
410,Moisessantos83
411,prazeres_denise
412,BrunoPira23
413,newsenzani
414,SobRenato
415,MARCUSANTONIOFI
416,jamerso89197576
417,carlosan1964
418,Nettogui1
419,MaxsonComX
420,LaydeMary
421,flaviogomesss
422,crispimmedeiros
423,bebispatroa
424,rdgChina
425,Andree_Vicente0
426,brando_nit
427,caivanomichel
428,BittarKatia
429,Carolzinhatorga
430,RenataP72956759
431,MateusDaviBraun
432,VeronicaVilma4
433,Moisessantos83
434,caivanomichel
435,BittarKatia
436,Carolzinhatorga
437,RenataP72956759
438,MateusDaviBraun
439,VeronicaVilma4
440,Moisessantos83
441,SobRenato
442,William36651959
443,lenamsqt
444,Marciovais13
445,Laendeer
446,iluskaclaudia1
447,SalArtconbh
448,Tmsr89rodrigues
449,ThaynaSchwedler
450,MiguelN06125838
451,ThieniNakamura
452,Edeilsonrc
453,marcioTadeuRoc4
454,William36651959
455,jonathanjazzaaz
456,Jorgejwsl87
457,DeEderson
458,SobRenato
459,Aleasoare
460,MayversonA
461,blevda
462,Jhunnyhendrix
463,BrunoSilvaRN
464,thaaynadantas
465,cryynho
466,1achocolatado
467,matheusbechelli
468,ollobato
469,braga1970
470,DeEderson
471,Aleasoare
472,bleandrorocha
473,lucaslovatto_
474,MayversonA
475,OscarAdv
476,MedalhaAssuncao
477,DrikinhaRBorges
478,RodrigoMuller2
479,caivanomichel
480,LRauc
481,MAILNEWSBR
482,LaydeMary
483,Francis27085625
484,CristianSilvaRT
485,Ricknet1
486,LRauc
487,AlexBBetaLab
488,suportemicros
489,RAFAELGOESCOSTA
490,caivanomichel
491,Srt_LL
492,ROBSONCLEIGRUIZ
493,CristianSilvaRT
494,MonteiLima
495,Milupa080203
496,prazeres_denise
497,BrunoPira23
498,Jonatha88778930
499,nonoalex1980
500,RodrigoMuller2
501,DiasAiran
502,CaiqueSamuel
503,jonathanjazzaaz
504,Ramayane_27
505,panterafreitas
506,WMochila
507,RONALDOALVESSI1
508,William36651959
509,dedeu03
510,lemefelipex20
